database_id,cohort_id,comparator_cohort_id,start_day,end_day,subjects,sub_cs_before_ts,rec_cs_before_ts,sub_cs_on_ts,rec_cs_on_ts,sub_cs_after_ts,rec_cs_after_ts,sub_cs_before_te,rec_cs_before_te,sub_cs_on_te,rec_cs_on_te,sub_cs_after_te,rec_cs_after_te,sub_cs_window_t,rec_cs_window_t,sub_ce_window_t,rec_ce_window_t,sub_cs_window_ts,rec_cs_window_ts,sub_cs_window_te,rec_cs_window_te,sub_ce_window_ts,rec_ce_window_ts,sub_ce_window_te,rec_ce_window_te,sub_c_within_t,rec_c_within_t,c_days_before_ts,c_days_before_te,c_days_within_t_days,c_days_after_ts,c_days_after_te,t_days,c_days
optum_ehr,39,-1,-9999,0,845191,0,0,0,0,845191,845191,0,0,0,0,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,2620,2620,845191,845191,845191,845191,845191,845191,2257866181,2257866181,2257866181,9524577954,2257866181
optum_ehr,39,-1,-9999,9999,845191,0,0,0,0,845191,845191,0,0,0,0,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,2257866181,2257866181,2257866181,17975642763,2257866181
optum_ehr,39,-1,-365,-31,835737,623744,623744,324,324,211669,211669,769101,769101,159,159,66477,66477,211993,211993,0,0,96643,96643,66636,66636,0,0,0,0,0,0,940099415,1965864613,1292574952,1318482799,292717601,1352538462,2257746477
optum_ehr,39,-1,-365,0,845191,623744,623744,324,324,221123,221123,769101,769101,159,159,75931,75931,221447,221447,845191,845191,221447,221447,76090,76090,2620,2620,845191,845191,221447,221447,940108869,1965874067,1318602503,1318602503,292837305,1382007860,2257866181
optum_ehr,39,-1,-180,0,845191,667784,667784,263,263,177144,177144,794947,794947,380,380,49864,49864,177407,177407,845191,845191,177407,177407,50244,50244,2620,2620,845191,845191,177407,177407,1059561158,2110328283,1199150214,1199150214,148383089,1225647525,2257866181
optum_ehr,39,-1,-30,-1,843723,720387,720387,632,632,122704,122704,835737,835737,447,447,7539,7539,123336,123336,0,0,43003,43003,7986,7986,0,0,0,0,0,0,1163141203,2232682353,1094723510,1095567233,26026083,1097979644,2257864713
optum_ehr,39,-1,-30,0,845191,720387,720387,632,632,124172,124172,835737,835737,447,447,9007,9007,124804,124804,845191,845191,124804,124804,9454,9454,2620,2620,845191,845191,124804,124804,1163142671,2232683821,1095568701,1095568701,26027551,1098868875,2257866181
optum_ehr,39,-1,0,0,845191,763390,763390,81801,81801,0,0,843723,843723,1468,1468,0,0,81801,81801,845191,845191,81801,81801,1468,1468,2620,2620,845191,845191,81801,81801,1185198227,2257866181,1073513145,1073513145,845191,1073513145,2257866181
optum_ehr,39,-1,1,30,842571,842571,842571,0,0,0,0,842571,842571,0,0,0,0,0,0,842571,842571,0,0,0,0,17699,17699,0,0,0,0,1184473932,2256299315,1072667954,1072667954,842571,1097945084,2256299315
optum_ehr,39,-1,31,365,824872,824872,824872,0,0,0,0,824872,824872,0,0,0,0,0,0,824872,824872,0,0,0,0,198940,198940,0,0,0,0,1195495465,2242335266,1047664673,1047664673,824872,1348742953,2242335266
optum_ehr,39,42,-9999,0,845191,0,0,0,0,845191,845191,0,0,0,0,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,2620,2620,845191,845191,845191,845191,845191,845191,1180991554,1180991554,1180991554,9524577954,1180991554
optum_ehr,39,42,-9999,9999,845191,0,0,0,0,845191,845191,0,0,0,0,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,845191,1180991554,1180991554,1180991554,17975642763,1180991554
optum_ehr,39,42,-365,-31,826484,90831,90831,185,185,735468,735468,648275,648275,471,471,177738,177738,735653,735653,0,0,61562,61562,178209,178209,0,0,0,0,0,0,62598735,914293201,1093345641,1118966645,267272179,1349306143,1180738896
optum_ehr,39,42,-365,0,845191,90831,90831,185,185,754175,754175,648275,648275,471,471,196445,196445,754360,754360,845191,845191,754360,754360,196916,196916,2620,2620,845191,845191,754360,754360,62617442,914311908,1119219303,1119219303,267524837,1382007860,1180991554
optum_ehr,39,42,-180,0,845191,124394,124394,268,268,720529,720529,716598,716598,864,864,127729,127729,720797,720797,845191,845191,720797,720797,128593,128593,2620,2620,845191,845191,720797,720797,82298185,1040003996,1099538560,1099538560,141832749,1225647525,1180991554
optum_ehr,39,42,-30,-1,842746,152393,152393,0,0,690353,690353,826484,826484,887,887,15375,15375,690353,690353,0,0,0,0,16262,16262,0,0,0,0,0,0,103749365,1155960638,1077239744,1078082490,25871217,1097950334,1180989109
optum_ehr,39,42,-30,0,845191,152393,152393,0,0,692798,692798,826484,826484,887,887,17820,17820,692798,692798,845191,845191,692798,692798,18707,18707,2620,2620,845191,845191,692798,692798,103751810,1155963083,1078084935,1078084935,25873662,1098868875,1180991554
optum_ehr,39,42,0,0,845191,152393,152393,692798,692798,0,0,842746,842746,2445,2445,0,0,692798,692798,845191,845191,692798,692798,2445,2445,2620,2620,845191,845191,692798,692798,108323600,1180991554,1073513145,1073513145,845191,1073513145,1180991554
optum_ehr,39,42,1,30,842571,842571,842571,0,0,0,0,842571,842571,0,0,0,0,0,0,842571,842571,0,0,0,0,17699,17699,0,0,0,0,109012999,1180838382,1072667954,1072667954,842571,1097945084,1180838382
optum_ehr,39,42,31,365,824872,824872,824872,0,0,0,0,824872,824872,0,0,0,0,0,0,824872,824872,0,0,0,0,198940,198940,0,0,0,0,132594460,1179434261,1047664673,1047664673,824872,1348742953,1179434261
optum_ehr,39,66,-9999,0,417259,0,0,0,0,417259,818020,0,0,0,0,417259,818020,417259,818020,417259,818020,275171,362636,417259,818020,116717,165330,417259,818020,417259,818020,818020,818020,7936664,7936664,7936664,9384666948,7936664
optum_ehr,39,66,-9999,9999,417259,0,0,0,0,417259,818020,0,0,0,0,417259,818020,417259,818020,417259,818020,417259,818020,417259,818020,417259,818020,417259,818020,417259,818020,818020,818020,7936664,7936664,7936664,17564048928,7936664
optum_ehr,39,66,-365,-31,397411,880,880,137,137,397212,736320,293170,528747,563,563,164340,208027,397239,736457,396315,735578,66825,80049,164684,208590,62145,74176,165971,211270,396142,734698,746504,5265185,7356016,7373565,2854884,1379153135,7382732
optum_ehr,39,66,-365,0,400923,880,880,137,137,400731,742086,293170,528747,563,563,168583,213793,400757,742223,400923,743103,247797,286839,168925,214356,75574,90413,171532,218795,400757,742223,752270,5270951,7408494,7408494,2889813,1406717132,7417661
optum_ehr,39,66,-180,0,394535,1581,1581,222,222,394160,711155,327312,590705,1068,1068,111077,121185,394217,711377,394535,712958,235068,255993,111936,122253,54837,60268,118117,130241,394217,711377,731797,5943018,7169026,7169026,1957805,1231821225,7187865
optum_ehr,39,66,-30,-1,383302,6753,6753,656,656,378755,660933,379764,663161,361,361,4820,4820,379142,661589,382032,666531,39767,39767,5181,5181,15086,15086,5129,5129,377889,659798,760923,6761790,6712351,6714162,713295,1076578859,6806743
optum_ehr,39,66,-30,0,383602,6753,6753,656,656,379056,661518,379764,663161,361,361,5405,5405,379443,662174,383602,668927,206790,206790,5766,5766,16237,16237,7525,7525,379443,662174,761508,6762375,6714747,6714747,713880,1077562438,6807328
optum_ehr,39,66,0,0,374846,31434,31434,167023,167023,251208,455384,374540,653256,585,585,0,0,354526,622407,374846,653841,167023,167023,585,585,1151,1151,2396,2396,354526,622407,1083289,6667819,6238371,6238371,653841,1041585388,6667819
optum_ehr,39,66,1,30,374093,197306,197306,5216,5216,247864,450168,374093,652690,0,0,0,0,251208,455384,374093,652690,32198,32198,0,0,211810,211810,0,0,251208,455384,1270498,6657722,6039914,6039914,652690,1059370536,6657722
optum_ehr,39,66,31,365,242300,17694,17694,538,538,230806,422648,242300,440880,0,0,0,0,231133,423186,242300,440880,113844,143882,0,0,125849,159214,0,0,231133,423186,940966,4707764,4207678,4207678,440880,939133241,4707764
optum_ehr,39,181,-9999,0,341072,0,0,0,0,341072,720913,0,0,0,0,341072,720913,341072,720913,341072,720913,206119,294300,341072,720913,103384,164708,341072,720913,341072,720913,720913,720913,5747086,5747086,5747086,8292419952,5747086
optum_ehr,39,181,-9999,9999,341072,0,0,0,0,341072,720913,0,0,0,0,341072,720913,341072,720913,341072,720913,341072,720913,341072,720913,341072,720913,341072,720913,341072,720913,720913,720913,5747086,5747086,5747086,15500829039,5747086
optum_ehr,39,181,-365,-31,326540,951,951,130,130,326305,649920,248487,478797,500,500,131689,171704,326332,650050,325952,649794,61252,78845,131971,172204,58721,75591,132852,174035,325743,648843,654890,3993560,5198894,5204119,1865449,1246883564,5208008
optum_ehr,39,181,-365,0,328791,951,951,130,130,328559,655850,248487,478797,500,500,135217,177634,328586,655980,328791,656931,188028,229367,135496,178134,77662,100726,137146,181172,328586,655980,660820,3999490,5231341,5231341,1892671,1274459072,5235230
optum_ehr,39,181,-180,0,322318,1515,1515,217,217,321911,624479,275152,529688,874,874,85914,95649,321971,624696,322318,626211,176760,198083,86585,96523,60445,70006,90435,101702,321971,624696,632077,4319077,4983604,4983604,1296604,1117794222,4989470
optum_ehr,39,181,-30,-1,307937,4205,4205,603,603,305213,574250,305997,575410,257,257,3391,3391,305604,574853,307278,577825,34556,34556,3648,3648,23794,23794,3622,3622,304942,573620,595609,4602910,4610436,4611669,604368,976337336,4628220
optum_ehr,39,181,-30,0,308448,4205,4205,603,603,305734,576532,305997,575410,257,257,5673,5673,306123,577135,308448,581340,150522,150522,5930,5930,25135,25135,7117,7137,306123,577135,597891,4605192,4613951,4613951,606650,979301090,4630502
optum_ehr,39,181,0,0,293040,14967,14967,115966,115966,215228,426613,292471,555264,2282,2282,0,0,283490,542579,293040,557546,115966,115966,2282,2282,1341,1341,3515,3515,283490,542579,601343,4440150,4396353,4396353,557546,939244029,4440150
optum_ehr,39,181,1,30,292149,129592,129592,2927,2927,213261,423686,292149,556205,0,0,0,0,215228,426613,292149,556205,20291,20291,0,0,147127,147127,0,0,215228,426613,720289,4429504,4265420,4265420,556205,954112391,4429504
optum_ehr,39,181,31,365,204656,2756,2756,573,573,202872,405749,204656,409078,0,0,0,0,203181,406322,204656,409078,86017,114748,0,0,87022,115792,0,0,203181,406322,420178,3253283,3242183,3242183,409078,904241780,3253283
optum_ehr,39,202,-9999,0,341671,0,0,0,0,341671,723526,0,0,0,0,341671,723526,341671,723526,341671,723526,206536,295348,341671,723526,103737,165611,341671,723526,341671,723526,723526,723526,5767822,5767822,5767822,8323401038,5767822
optum_ehr,39,202,-9999,9999,341671,0,0,0,0,341671,723526,0,0,0,0,341671,723526,341671,723526,341671,723526,341671,723526,341671,723526,341671,723526,341671,723526,341671,723526,723526,723526,5767822,5767822,5767822,15557937512,5767822
optum_ehr,39,202,-365,-31,327054,957,957,130,130,326816,651992,248975,480627,503,503,131834,171949,326843,652122,326466,651870,61469,79198,132117,172452,58932,75934,133002,174289,326254,650913,656996,4008417,5215482,5220715,1869294,1251895704,5224632
optum_ehr,39,202,-365,0,329317,957,957,130,130,329082,657949,248975,480627,503,503,135386,177906,329109,658079,329317,659036,188345,229901,135666,178409,77901,101121,137320,181455,329109,658079,662953,4014374,5247985,5247985,1896564,1279578349,5251902
optum_ehr,39,202,-180,0,322824,1520,1520,217,217,322415,626417,275633,531506,873,873,86024,95775,322475,626634,322824,628154,177044,198456,86695,96648,60628,70239,90549,101832,322475,626634,634037,4333729,4998963,4998963,1299271,1122286002,5004846
optum_ehr,39,202,-30,-1,308397,4221,4221,607,607,305668,575968,306456,577145,258,258,3393,3393,306061,576575,307738,579563,34607,34607,3651,3651,23842,23842,3627,3627,305399,575342,597417,4616787,4624270,4625503,606133,980239986,4642124
optum_ehr,39,202,-30,0,308922,4221,4221,607,607,306203,578274,306456,577145,258,258,5699,5699,306594,578881,308922,583102,150703,150703,5957,5957,25187,25187,7146,7166,306594,578881,599723,4619093,4627809,4627809,608439,983233755,4644430
optum_ehr,39,202,0,0,293519,14986,14986,116096,116096,215644,428178,292936,556954,2306,2306,0,0,283975,544274,293519,559260,116096,116096,2306,2306,1345,1345,3539,3539,283975,544274,603133,4453694,4409821,4409821,559260,943061818,4453694
optum_ehr,39,202,1,30,292628,129737,129737,2936,2936,213670,425242,292628,557915,0,0,0,0,215644,428178,292628,557915,20311,20311,0,0,147288,147288,0,0,215644,428178,722192,4443016,4278739,4278739,557915,957973836,4443016
optum_ehr,39,202,31,365,205065,2760,2760,575,575,203284,407292,205065,410627,0,0,0,0,203593,407867,205065,410627,86196,115100,0,0,87199,116145,0,0,203593,407867,421740,3265507,3254394,3254394,410627,908348341,3265507
optum_ehr,39,203,-9999,0,341072,0,0,0,0,341072,720913,0,0,0,0,341072,720913,341072,720913,341072,720913,206119,294300,341072,720913,103384,164708,341072,720913,341072,720913,720913,720913,5747086,5747086,5747086,8292419952,5747086
optum_ehr,39,203,-9999,9999,341072,0,0,0,0,341072,720913,0,0,0,0,341072,720913,341072,720913,341072,720913,341072,720913,341072,720913,341072,720913,341072,720913,341072,720913,720913,720913,5747086,5747086,5747086,15500829039,5747086
optum_ehr,39,203,-365,-31,326540,951,951,130,130,326305,649920,248487,478797,500,500,131689,171704,326332,650050,325952,649794,61252,78845,131971,172204,58721,75591,132852,174035,325743,648843,654890,3993560,5198894,5204119,1865449,1246883564,5208008
optum_ehr,39,203,-365,0,328791,951,951,130,130,328559,655850,248487,478797,500,500,135217,177634,328586,655980,328791,656931,188028,229367,135496,178134,77662,100726,137146,181172,328586,655980,660820,3999490,5231341,5231341,1892671,1274459072,5235230
optum_ehr,39,203,-180,0,322318,1515,1515,217,217,321911,624479,275152,529688,874,874,85914,95649,321971,624696,322318,626211,176760,198083,86585,96523,60445,70006,90435,101702,321971,624696,632077,4319077,4983604,4983604,1296604,1117794222,4989470
optum_ehr,39,203,-30,-1,307937,4205,4205,603,603,305213,574250,305997,575410,257,257,3391,3391,305604,574853,307278,577825,34556,34556,3648,3648,23794,23794,3622,3622,304942,573620,595609,4602910,4610436,4611669,604368,976337336,4628220
optum_ehr,39,203,-30,0,308448,4205,4205,603,603,305734,576532,305997,575410,257,257,5673,5673,306123,577135,308448,581340,150522,150522,5930,5930,25135,25135,7117,7137,306123,577135,597891,4605192,4613951,4613951,606650,979301090,4630502
optum_ehr,39,203,0,0,293040,14967,14967,115966,115966,215228,426613,292471,555264,2282,2282,0,0,283490,542579,293040,557546,115966,115966,2282,2282,1341,1341,3515,3515,283490,542579,601343,4440150,4396353,4396353,557546,939244029,4440150
optum_ehr,39,203,1,30,292149,129592,129592,2927,2927,213261,423686,292149,556205,0,0,0,0,215228,426613,292149,556205,20291,20291,0,0,147127,147127,0,0,215228,426613,720289,4429504,4265420,4265420,556205,954112391,4429504
optum_ehr,39,203,31,365,204656,2756,2756,573,573,202872,405749,204656,409078,0,0,0,0,203181,406322,204656,409078,86017,114748,0,0,87022,115792,0,0,203181,406322,420178,3253283,3242183,3242183,409078,904241780,3253283
optum_ehr,39,204,-9999,0,459493,0,0,0,0,459493,635700,0,0,0,0,459493,635700,459493,635700,459493,635700,316283,355154,459493,635700,174148,198448,459493,635700,459493,635700,635700,635700,1269845,1269845,1269845,7295346265,1269845
optum_ehr,39,204,-9999,9999,459493,0,0,0,0,459493,635700,0,0,0,0,459493,635700,459493,635700,459493,635700,459493,635700,459493,635700,459493,635700,459493,635700,459493,635700,635700,635700,1269845,1269845,1269845,13651710565,1269845
optum_ehr,39,204,-365,-31,427220,135,135,144,144,427036,545180,317973,398212,405,405,146842,146842,427134,545324,427059,545239,75656,75656,147247,147247,75166,75166,147360,147360,426973,545104,545594,943671,1090563,1090783,692706,1031640500,1090918
optum_ehr,39,204,-365,0,431278,135,135,144,144,431096,551334,317973,398212,405,405,152996,152996,431192,551478,431278,551613,270932,270932,153401,153401,114361,114361,153733,153734,431192,551478,551748,949825,1101536,1101536,703459,1054696938,1101671
optum_ehr,39,204,-180,0,409922,208,208,214,214,409604,521259,341088,431416,765,765,89500,89500,409759,521473,409922,521681,240927,240927,90265,90265,84429,84429,90840,90840,409759,521473,521889,953097,1041599,1041599,610391,912592690,1041807
optum_ehr,39,204,-30,-1,374140,625,625,601,601,373182,473666,370332,470293,294,294,4305,4305,373650,474267,373949,474607,38532,38532,4599,4599,32157,32157,4534,4534,373459,473982,475517,945185,948874,949159,479491,780040521,949784
